#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
CON_-;-;;;;;;;;;;X
CON_Africa;非洲 ;;;;;;;;;;X
CON_Asia;亚洲 ;;;;;;;;;;X
CON_Europe;欧洲 ;;;;;;;;;;X
CON_NAmerica;北美洲 ;;;;;;;;;;X
CON_Oceania;大洋州 ;;;;;;;;;;X
CON_SAmerica;南美洲 ;;;;;;;;;;X
#;;;;;;;;;;;X
AREA_-;-;;;;;;;;;;X
AREA_ADELAIDE;阿德莱德 ;;;;;;;;;;X
AREA_AFGHANISTAN;阿富汗 ;;;;;;;;;;X
AREA_AGATS;阿加茨 ;;;;;;;;;;X
AREA_ALABAMA;阿拉巴马 ;;;;;;;;;;X
AREA_ALASKA;阿拉斯加 ;;;;;;;;;;X
AREA_ALASKAN_ARCHIPELAGO;东阿留申群岛 ;;;;;;;;;;X
AREA_ALBANIA;阿尔巴尼亚 ;;;;;;;;;;X
AREA_ALBERTA;艾伯塔 ;;;;;;;;;;X
AREA_ALGERIAN_COAST;阿尔及利亚海岸 ;;;;;;;;;;X
AREA_ALICE_SPRINGS;艾利斯斯普林斯 ;;;;;;;;;;X
AREA_ALPES_PROVENCE;阿尔卑斯普罗旺斯 ;;;;;;;;;;X
AREA_AMUR;阿穆尔(黑龙江-外兴安岭) ;;;;;;;;;;X
AREA_ANATOLIAN_NORTH_COAST;安纳托利亚北海岸 ;;;;;;;;;;X
AREA_ANATOLIAN_SOUTH_COAST;安纳托利亚南海岸 ;;;;;;;;;;X
AREA_ANGOLAN_COAST;安哥拉海岸 ;;;;;;;;;;X
AREA_ANGOLAN_PLAINS;安哥拉平原 ;;;;;;;;;;X
AREA_ANHUI;安徽 ;;;;;;;;;;X
AREA_ANTILLES;安的列斯群岛 ;;;;;;;;;;X
AREA_APPENNINE_RIDGE;艾米利亚-托斯卡纳 ;;;;;;;;;;X
AREA_AQUITAINE;阿基坦 ;;;;;;;;;;X
AREA_ARABIAN_DESERT;阿拉伯沙漠 ;;;;;;;;;;X
AREA_ARIZONA;亚利桑那 ;;;;;;;;;;X
AREA_ARKANSAS;阿肯色 ;;;;;;;;;;X
AREA_ARKHANGELSK;阿尔汉格尔斯克 ;;;;;;;;;;X
AREA_ARMENIA_AZERBAIJAN;亚美尼亚-阿塞拜疆 ;;;;;;;;;;X
AREA_ASTRAKHAN;阿斯特拉罕 ;;;;;;;;;;X
AREA_ASUNCION;亚松森 ;;;;;;;;;;X
AREA_ATTICA;阿提卡 ;;;;;;;;;;X
AREA_AUSTRIA;奥地利 ;;;;;;;;;;X
AREA_BABO;巴博 ;;;;;;;;;;X
AREA_BADEN_WURTTEMBERG;巴登-符腾堡;;;;;;;;;;X
AREA_BAHAMAS_ISLANDS;巴哈马群岛 ;;;;;;;;;;X
AREA_BALEARES;阿拉贡 ;;;;;;;;;;X
AREA_BAVARIA;巴伐利亚 ;;;;;;;;;;X
AREA_BECHUANALAND;贝专纳(博茨瓦纳) ;;;;;;;;;;X
AREA_BENGAL;西孟加拉 ;;;;;;;;;;X
AREA_BENGAZI;班加西 ;;;;;;;;;;X
AREA_BERMUDA;百慕大群岛 ;;;;;;;;;;X
AREA_BESSARABIA;比萨拉比亚 ;;;;;;;;;;X
AREA_BOHEMIA;波希米亚 ;;;;;;;;;;X
AREA_BOMBAY;孟买 ;;;;;;;;;;X
AREA_BONIN;小笠原群岛 ;;;;;;;;;;X
AREA_BOSNIA;波斯尼亚 ;;;;;;;;;;X
AREA_BOSPORUS;博斯普鲁斯海峡 ;;;;;;;;;;X
AREA_BOUGAINVILLE;北所罗门群岛 ;;;;;;;;;;X
AREA_BOURGOGNE_CHAMPAGNE;勃艮第-香槟 ;;;;;;;;;;X
AREA_BRANDENBURG;勃兰登堡 ;;;;;;;;;;X
AREA_BRASILIA;巴西利亚 ;;;;;;;;;;X
AREA_BREST_LITOVSK;布列斯特-利托夫斯克 ;;;;;;;;;;X
AREA_BRISBANE;布里斯班 ;;;;;;;;;;X
AREA_BRITISH_COLUMBIA;不列颠-哥伦比亚 ;;;;;;;;;;X
AREA_BRITTANY;布列塔尼 ;;;;;;;;;;X
AREA_BULGARIA;保加利亚 ;;;;;;;;;;X
AREA_BURMA;南缅甸 ;;;;;;;;;;X
AREA_CAIRNS;凯恩斯 ;;;;;;;;;;X
AREA_CALIFORNIA;加利福尼亚 ;;;;;;;;;;X
AREA_CAMEROONIAN_JUNGLE;喀麦隆丛林 ;;;;;;;;;;X
AREA_CANARIAS;加那利群岛 ;;;;;;;;;;X
AREA_CANTABRIC_CHAIN;加利西亚-坎塔布连山脉 ;;;;;;;;;;X
AREA_CAP_VERDE_ISLANDS;佛得角群岛 ;;;;;;;;;;X
AREA_CAPE;好望角 ;;;;;;;;;;X
AREA_CARACAS;加拉加斯 ;;;;;;;;;;X
AREA_CAROLINESE;加罗林群岛 ;;;;;;;;;;X
AREA_CATALONIA;加泰罗尼亚 ;;;;;;;;;;X
AREA_CELEBES;西里伯斯岛(苏拉威西岛) ;;;;;;;;;;X
AREA_CENTRAL_AFRICA_DESERT;中非沙漠 ;;;;;;;;;;X
AREA_CENTRAL_AFRICA_PLAINS;中非大平原 ;;;;;;;;;;X
AREA_CENTRAL_FINLAND;芬兰中部 ;;;;;;;;;;X
AREA_CENTRAL_ITALY;意大利中部 ;;;;;;;;;;X
AREA_CENTRAL_NORWAY;挪威中部 ;;;;;;;;;;X
AREA_CENTRAL_RAINFORESTS;中部热带雨林 ;;;;;;;;;;X
AREA_CENTRAL_SERBIA;塞尔维亚 ;;;;;;;;;;X
AREA_CENTRAL_SPAIN;新卡斯特尔 ;;;;;;;;;;X
AREA_CENTRAL_TURKEY;土耳其中部 ;;;;;;;;;;X
AREA_CHAHAR;察哈尔 ;;;;;;;;;;X
AREA_CHIHUAHUA;奇瓦瓦 ;;;;;;;;;;X
AREA_CHILE;智利 ;;;;;;;;;;X
AREA_CHILEAN_ARCHIPELAGO;智利群岛 ;;;;;;;;;;X
AREA_COLORADO;科罗拉多 ;;;;;;;;;;X
AREA_CONNECTICUT_RHODE_ISLAND;康乃狄克-罗得岛 ;;;;;;;;;;X
AREA_CONTINENTAL_SPAIN;旧卡斯提尔 ;;;;;;;;;;X
AREA_COSTA_DEL_SOL;太阳海岸 ;;;;;;;;;;X
AREA_CROATIA;克罗地亚-斯洛文尼亚 ;;;;;;;;;;X
AREA_CUBA;古巴 ;;;;;;;;;;X
AREA_DANAKIL_PLATEAU;达纳基勒高原 ;;;;;;;;;;X
AREA_DARWIN;达尔文 ;;;;;;;;;;X
AREA_DECCAR;德干高原 ;;;;;;;;;;X
AREA_DELHI;德里 ;;;;;;;;;;X
AREA_DELTA;尼罗河三角洲 ;;;;;;;;;;X
AREA_DENMARK;丹麦 ;;;;;;;;;;X
AREA_DIEGO_GARCIA_ISLAND;迪戈加西亚岛 ;;;;;;;;;;X
AREA_DNEPROPRETOVSK;第聂伯罗彼得罗夫斯克 ;;;;;;;;;;X
AREA_EAST_ANDALUCIA;安达卢西亚 ;;;;;;;;;;X
AREA_EAST_ATLAS;东阿特拉斯山脉 ;;;;;;;;;;X
AREA_EAST_ENGLAND;东英格兰 ;;;;;;;;;;X
AREA_EAST_JAVA;东爪哇岛 ;;;;;;;;;;X
AREA_EAST_PERSIA;东波斯 ;;;;;;;;;;X
AREA_EAST_PRUSSIA;东普鲁士 ;;;;;;;;;;X
AREA_EAST_SERBIA;马其顿-黑山 ;;;;;;;;;;X
AREA_EASTERN_ANATOLIA;东安纳托利亚 ;;;;;;;;;;X
AREA_EASTERN_GHAT;东高止山脉 ;;;;;;;;;;X
AREA_EASTERN_HUNGARY;罗兹 ;;;;;;;;;;X
AREA_EGYPTIAN_COAST;埃及海岸 ;;;;;;;;;;X
AREA_EIRE;爱尔兰 ;;;;;;;;;;X
AREA_EL_ALAMEIN;阿拉曼 ;;;;;;;;;;X
AREA_EL_RIF;里夫山 ;;;;;;;;;;X
AREA_ESPIRTU_SANTO;圣埃斯皮里图 ;;;;;;;;;;X
AREA_ESTONIA;爱沙尼亚 ;;;;;;;;;;X
AREA_ETHIOPIAN_HIGHLAND;埃塞俄比亚高原 ;;;;;;;;;;X
AREA_FIJI;斐济 ;;;;;;;;;;X
AREA_FLANDERS;佛兰德斯 ;;;;;;;;;;X
AREA_FLORES_TIMOR;弗洛勒斯-帝汶 ;;;;;;;;;;X
AREA_FLORIDA;佛罗里达 ;;;;;;;;;;X
AREA_FUJIAN;福建 ;;;;;;;;;;X
AREA_GABES;加贝斯 ;;;;;;;;;;X
AREA_GANSU;甘肃 ;;;;;;;;;;X
AREA_GEORGIA;格鲁吉亚 ;;;;;;;;;;X
AREA_GOETALAND;约塔兰 ;;;;;;;;;;X
AREA_GOLD_COAST;黄金海岸 ;;;;;;;;;;X
AREA_GREEK_ISLAND;希腊诸岛 ;;;;;;;;;;X
AREA_GRODNO;格罗德诺 ;;;;;;;;;;X
AREA_GUADALCANAL;南所罗门群岛 ;;;;;;;;;;X
AREA_GUANGDONG;广东 ;;;;;;;;;;X
AREA_GUANGXI;广西 ;;;;;;;;;;X
AREA_GUAYANA;圭亚那 ;;;;;;;;;;X
